country,flag
NL,https://flagicons.lipis.dev/flags/4x3/nl.svg
RU,https://flagicons.lipis.dev/flags/4x3/ru.svg
GR,https://flagicons.lipis.dev/flags/4x3/gr.svg
JP,https://flagicons.lipis.dev/flags/4x3/jp.svg
KE,https://flagicons.lipis.dev/flags/4x3/ke.svg
PY,https://flagicons.lipis.dev/flags/4x3/py.svg
IS,https://flagicons.lipis.dev/flags/4x3/is.svg
LU,https://flagicons.lipis.dev/flags/4x3/lu.svg
CY,https://flagicons.lipis.dev/flags/4x3/cy.svg
WW,https://flagicons.lipis.dev/flags/4x3/ww.svg
PT,https://flagicons.lipis.dev/flags/4x3/pt.svg
VE,https://flagicons.lipis.dev/flags/4x3/ve.svg
FI,https://flagicons.lipis.dev/flags/4x3/fi.svg
SG,https://flagicons.lipis.dev/flags/4x3/sg.svg
VN,https://flagicons.lipis.dev/flags/4x3/vn.svg
FR,https://flagicons.lipis.dev/flags/4x3/fr.svg
IN,https://flagicons.lipis.dev/flags/4x3/in.svg
SA,https://flagicons.lipis.dev/flags/4x3/sa.svg
PA,https://flagicons.lipis.dev/flags/4x3/pa.svg
BH,https://flagicons.lipis.dev/flags/4x3/bh.svg
GB,https://flagicons.lipis.dev/flags/4x3/gb.svg
ES,https://flagicons.lipis.dev/flags/4x3/es.svg
BE,https://flagicons.lipis.dev/flags/4x3/be.svg
TH,https://flagicons.lipis.dev/flags/4x3/th.svg
SI,https://flagicons.lipis.dev/flags/4x3/si.svg
CA,https://flagicons.lipis.dev/flags/4x3/ca.svg
BR,https://flagicons.lipis.dev/flags/4x3/br.svg
IT,https://flagicons.lipis.dev/flags/4x3/it.svg
PK,https://flagicons.lipis.dev/flags/4x3/pk.svg
US,https://flagicons.lipis.dev/flags/4x3/us.svg
DE,https://flagicons.lipis.dev/flags/4x3/de.svg
NZ,https://flagicons.lipis.dev/flags/4x3/nz.svg
ID,https://flagicons.lipis.dev/flags/4x3/id.svg
CH,https://flagicons.lipis.dev/flags/4x3/ch.svg
BA,https://flagicons.lipis.dev/flags/4x3/ba.svg
KR,https://flagicons.lipis.dev/flags/4x3/kr.svg
JM,https://flagicons.lipis.dev/flags/4x3/jm.svg
LB,https://flagicons.lipis.dev/flags/4x3/lb.svg
NG,https://flagicons.lipis.dev/flags/4x3/ng.svg
SE,https://flagicons.lipis.dev/flags/4x3/se.svg
EG,https://flagicons.lipis.dev/flags/4x3/eg.svg
RO,https://flagicons.lipis.dev/flags/4x3/ro.svg
CZ,https://flagicons.lipis.dev/flags/4x3/cz.svg
JO,https://flagicons.lipis.dev/flags/4x3/jo.svg
PH,https://flagicons.lipis.dev/flags/4x3/ph.svg
CO,https://flagicons.lipis.dev/flags/4x3/co.svg
BN,https://flagicons.lipis.dev/flags/4x3/bn.svg
ZA,https://flagicons.lipis.dev/flags/4x3/za.svg
PL,https://flagicons.lipis.dev/flags/4x3/pl.svg
UA,https://flagicons.lipis.dev/flags/4x3/ua.svg
KW,https://flagicons.lipis.dev/flags/4x3/kw.svg
IE,https://flagicons.lipis.dev/flags/4x3/ie.svg
MX,https://flagicons.lipis.dev/flags/4x3/mx.svg
AT,https://flagicons.lipis.dev/flags/4x3/at.svg
TR,https://flagicons.lipis.dev/flags/4x3/tr.svg
RS,https://flagicons.lipis.dev/flags/4x3/rs.svg
TN,https://flagicons.lipis.dev/flags/4x3/tn.svg
DZ,https://flagicons.lipis.dev/flags/4x3/dz.svg
CL,https://flagicons.lipis.dev/flags/4x3/cl.svg
AE,https://flagicons.lipis.dev/flags/4x3/ae.svg
MA,https://flagicons.lipis.dev/flags/4x3/ma.svg
BG,https://flagicons.lipis.dev/flags/4x3/bg.svg
HR,https://flagicons.lipis.dev/flags/4x3/hr.svg
CN,https://flagicons.lipis.dev/flags/4x3/cn.svg
IQ,https://flagicons.lipis.dev/flags/4x3/iq.svg
TT,https://flagicons.lipis.dev/flags/4x3/tt.svg
QA,https://flagicons.lipis.dev/flags/4x3/qa.svg
MK,https://flagicons.lipis.dev/flags/4x3/mk.svg
HU,https://flagicons.lipis.dev/flags/4x3/hu.svg
BD,https://flagicons.lipis.dev/flags/4x3/bd.svg
PR,https://flagicons.lipis.dev/flags/4x3/pr.svg
SK,https://flagicons.lipis.dev/flags/4x3/sk.svg
LT,https://flagicons.lipis.dev/flags/4x3/lt.svg
EC,https://flagicons.lipis.dev/flags/4x3/ec.svg
NO,https://flagicons.lipis.dev/flags/4x3/no.svg
EE,https://flagicons.lipis.dev/flags/4x3/ee.svg
OM,https://flagicons.lipis.dev/flags/4x3/om.svg
MT,https://flagicons.lipis.dev/flags/4x3/mt.svg
AU,https://flagicons.lipis.dev/flags/4x3/au.svg
DK,https://flagicons.lipis.dev/flags/4x3/dk.svg
IL,https://flagicons.lipis.dev/flags/4x3/il.svg
MY,https://flagicons.lipis.dev/flags/4x3/my.svg
PE,https://flagicons.lipis.dev/flags/4x3/pe.svg
UY,https://flagicons.lipis.dev/flags/4x3/uy.svg
IR,https://flagicons.lipis.dev/flags/4x3/ir.svg
TW,https://flagicons.lipis.dev/flags/4x3/tw.svg
AL,https://flagicons.lipis.dev/flags/4x3/al.svg
LK,https://flagicons.lipis.dev/flags/4x3/lk.svg
AR,https://flagicons.lipis.dev/flags/4x3/ar.svg
GH,https://flagicons.lipis.dev/flags/4x3/gh.svg
HK,https://flagicons.lipis.dev/flags/4x3/hk.svg
LV,https://flagicons.lipis.dev/flags/4x3/lv.svg
